gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,operation_mode,other_moving_ac,QDepDep,taxi_time
8,8,19,1067.185911748493,148.19315518133533,0,651.2148144054973,105.609774242,0.0,0,7,0,3.1333333333333333
8,9,19,2165.009257409369,983.930320811736,0,1495.2497768695523,103.676652407,578.1768592638504,1,7,2,20.33333333333333
9,9,19,1656.8849971861507,408.4764086033955,0,1377.8465689501893,88.9090138822,613.1686048189504,1,14,6,18.5
8,9,19,2266.1178546114256,940.2914888000968,1,1656.2391149175369,64.6124524558,662.7655107560118,1,11,0,16.883333333333333
8,9,19,3282.260999845257,841.036310802212,0,2841.9232892535165,106.064213968,1346.4874057270276,1,9,3,24.416666666666668
8,9,19,3317.056482705936,914.8576225375396,0,2985.707452107149,67.0714083598,1611.7328805407617,1,14,1,17.55
8,9,19,3274.2059170722355,982.0017846355472,0,2734.216155305445,110.712389807,1346.4874057270276,1,12,5,18.183333333333334
8,9,19,2113.654156868225,894.8455003507029,1,1653.2578227576282,82.9530943613,0.0,1,13,4,16.616666666666667
8,10,31,5637.650035829115,1263.471673927127,0,1950.654406179232,111.624949329,1553.0528857582271,1,19,163,17394.583333333332
8,9,19,2360.024818876194,1058.671637653987,1,1857.8658742801867,112.201789352,577.1881546986612,1,10,15,41.43333333333333
9,9,19,1477.518846534732,600.5284550978346,0,1029.6221924779495,83.4322277087,0.0,1,10,0,4.466666666666667
9,9,19,3157.002620654663,876.2934903740862,0,2680.429042746749,112.840287221,1796.3095827274396,1,17,7,17.45
9,9,19,3354.295379342123,941.4734490500538,0,3031.0462755366493,68.8858870922,2061.555057541174,1,16,5,15.683333333333334
9,9,19,1643.2614096883608,227.1841320538676,0,1371.028041991844,0.0,0.0,1,9,0,3.283333333333333
9,9,19,1462.350259168329,408.1409382964865,0,1294.5889383286292,82.4634639933,623.2193247307075,1,11,0,4.85
9,9,19,1524.044888110081,612.6830566184052,0,1133.313014083462,126.546722489,578.1768592638504,1,14,5,13.15
9,9,19,1856.4434537576583,649.9852278556936,0,1583.7352075322124,90.631546504,886.4465447797426,1,10,0,5.7
9,9,19,2329.842707812333,905.4205372272006,0,1704.249350493865,104.571349969,578.1768592638504,1,14,4,9.85
9,9,19,2127.68007371882,800.4514669460408,1,1642.083669451005,113.012561341,577.1881546986612,1,13,5,14.333333333333334
9,9,19,3447.488717466518,757.3610222258658,0,3081.4885438641786,67.0385622797,1432.9878219173845,1,13,6,15.316666666666666
9,9,19,2079.7687333526183,601.1121491016736,0,1416.3452337415524,78.3397662866,578.1768592638504,1,12,5,13.55
9,9,19,1736.9819542523928,504.2330419736351,0,1068.6878774112429,71.1519727783,886.4465447797426,1,11,0,3.8
9,9,19,2522.520529271856,763.7023416674468,0,2254.422782422681,126.201474686,578.1768592638504,1,13,6,16.016666666666666
9,9,19,2379.477238070078,570.6328045074688,0,1969.9523795533412,87.1816780958,923.4468989662428,1,11,0,5.183333333333334
9,9,19,2115.7149835770674,925.644036640332,0,1890.1233937181428,113.648321037,578.1768592638504,1,7,2,11.1
9,9,19,1929.030620228838,492.2908748906266,0,1676.586903892866,120.216071857,0.0,1,5,0,5.516666666666667
9,9,19,1389.7553256708322,397.9466417701335,0,1024.4348590114496,91.7350856234,0.0,1,2,0,3.2666666666666666
9,9,20,3189.7778277964503,477.9139882823116,0,2958.2300660691644,0.0,2008.432047771288,0,8,0,9.0
9,9,20,2191.7027957473165,396.3275038232306,0,2043.7954592759552,0.0,974.8760264943768,0,10,3,12.166666666666666
9,9,20,2303.895739322788,498.4437925744262,0,2098.7279732720635,106.423920412,796.0465784219341,0,10,0,11.05
9,9,20,1349.8797614904013,595.5533403934604,0,1038.02779773808,0.0,0.0,0,8,1,12.35
9,9,20,3200.8908883814506,533.46486998877,0,3020.1960858201646,0.0,1743.1865729575538,0,7,2,16.25
9,9,20,1289.7258326271813,462.3367120325455,0,840.6372082616426,90.631546504,0.0,0,5,0,3.85
9,9,20,277.53908309229485,96.94070838903625,0,158.91938518279483,84.7457731106,0.0,0,6,0,1.4
9,9,20,3228.5605117022565,753.192348809315,0,2610.422852049466,126.201474686,1487.1711718053891,0,9,4,18.766666666666666
9,9,20,1637.1587066960672,433.71903779854654,0,1408.3969938789123,116.843538226,543.3363431868075,0,10,0,3.733333333333333
9,9,20,2529.305994750969,701.3860053170556,0,2214.41423070973,112.574782287,746.9421803053973,0,14,3,22.48333333333333
9,9,20,1822.437286497854,362.5386674292672,0,1521.7484064428927,139.479225601,974.8760264943768,0,16,4,21.516666666666666
9,9,20,303.49040108144163,186.84321243009845,0,167.65724346138285,0.0,0.0,0,9,0,0.5333333333333333
9,9,20,1574.521393876279,577.852127961959,0,1185.6936056357254,64.6124524558,623.2193247307075,0,8,0,3.6
9,9,20,3260.6773774514504,620.828494749327,0,2998.0268812318645,112.840287221,1743.1865729575538,0,16,4,26.716666666666665
9,9,20,2440.0715883743937,671.4094285263857,0,2073.227103424382,120.216071857,974.8760264943768,0,14,4,22.966666666666665
9,9,20,2246.483448030543,599.3930392969604,0,1730.3022398175694,0.0,974.8760264943768,0,12,2,13.916666666666666
9,12,10,3947.375466161839,965.9836181727115,0,1420.0387188855786,110.712389807,974.8760264943768,0,18,173,30382.483333333334
9,9,20,1890.335663513654,290.27475492575235,0,1650.4215117541662,106.733294121,0.0,0,12,0,8.5
9,9,20,2433.0608872226776,635.0963249474971,0,2058.780395963529,101.443894651,923.4468989662428,0,12,0,6.866666666666666
9,10,20,2423.5321689243938,642.2588321981123,0,1971.2397747930045,103.676652407,974.8760264943768,0,16,4,16.216666666666665
9,9,20,1397.5504333857104,345.5084586632261,0,928.7977470268496,88.9090138822,575.4407558091866,0,13,0,3.983333333333333
9,10,20,2459.3486980214093,941.1716319221946,0,2043.7954592759552,109.341765491,0.0,0,13,4,17.933333333333334
10,10,20,1046.199821832434,262.8450858812164,0,943.471170007334,71.3005402027,613.7392044684341,0,12,0,3.983333333333333
9,9,20,1204.0283375431495,354.18039547593406,0,1061.4352131979497,78.3397662866,0.0,0,12,0,4.4
9,10,20,1189.7354268201152,569.4203380307125,0,709.0750727290003,90.631546504,0.0,0,17,3,13.816666666666666
10,9,20,1900.8305220868388,380.0347542694296,0,1645.1860450263616,104.571349969,612.4411099956866,0,12,0,3.8666666666666663
10,10,20,1116.9565751162077,280.63614974168115,0,795.8358421656934,116.843538226,596.2474295666939,0,15,4,19.48333333333333
10,10,20,902.6750453407273,398.7929059167311,0,615.991512859413,112.201789352,0.0,0,15,3,15.666666666666666
