id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
19-Oct-2024_BEL8MP  ,departure,15.683333333333334,09,09,19,3354.295379342123,941.4734490500538,0,3031.0462755366493,68.8858870922,2061.555057541174,1223.854434708749,,-1,1,16,5,3,0,0,7,1,0,0
19-Oct-2024_TAP1310 ,arrival,3.283333333333333,09,09,19,1643.2614096883608,227.1841320538676,0,1371.028041991844,0,0,1643.2614096883608,23R/05L,1,1,9,0,0,0,0,0,0,7,0
19-Oct-2024_RYR87AT ,arrival,4.85,09,09,19,1462.350259168329,408.1409382964865,0,1294.5889383286292,82.4634639933,623.2193247307075,756.6674704443217,,-1,1,11,0,0,2,1,0,0,8,1
19-Oct-2024_DLH953  ,departure,13.15,09,09,19,1524.044888110081,612.6830566184052,0,1133.313014083462,126.546722489,578.1768592638504,819.3213063572306,,-1,1,14,5,3,0,0,7,1,0,0
19-Oct-2024_RUK7UD  ,arrival,5.7,09,09,19,1856.4434537576583,649.9852278556936,0,1583.7352075322124,90.631546504,886.4465447797426,879.3653624739158,23R/05L,1,1,10,0,0,2,1,0,0,8,1
19-Oct-2024_DLH8JV  ,departure,9.85,09,09,19,2329.842707812333,905.4205372272006,0,1704.249350493865,104.571349969,578.1768592638504,1647.0944985794827,,-1,1,14,4,2,0,0,6,1,0,0
19-Oct-2024_RYR72DY ,departure,14.333333333333334,09,09,19,2127.6800737188196,800.4514669460408,1,1642.083669451005,113.012561341,577.1881546986612,1437.4793576791585,,-1,1,13,5,3,0,0,7,0,0,0
19-Oct-2024_KLM32P  ,departure,15.316666666666666,09,09,19,3447.488717466518,757.3610222258658,0,3081.4885438641786,67.0385622797,1432.9878219173843,1947.462333269434,23L/05R,2,1,13,6,3,0,0,8,0,0,0
19-Oct-2024_EZY72KD ,departure,13.55,09,09,19,2079.7687333526183,601.1121491016736,0,1416.3452337415524,78.3397662866,578.1768592638504,1423.2521078021678,,-1,1,12,5,3,0,0,7,2,0,0
19-Oct-2024_EAI66L  ,arrival,3.8,09,09,19,1736.9819542523928,504.23304197363507,0,1068.6878774112427,71.1519727783,886.4465447797426,779.3834366943503,23R/05L,1,1,11,0,0,2,0,0,0,8,1
19-Oct-2024_SIA51   ,departure,16.016666666666666,09,09,19,2522.5205292718556,763.7023416674468,0,2254.422782422681,126.201474686,578.1768592638504,1818.1421953220051,23L/05R,2,1,13,6,5,0,0,8,2,0,0
19-Oct-2024_RYR89LQ ,arrival,5.183333333333334,09,09,19,2379.477238070078,570.6328045074688,0,1969.9523795533414,87.1816780958,923.4468989662427,1368.848661008035,23R/05L,1,1,11,0,0,1,1,0,0,7,2
19-Oct-2024_VIR109V ,departure,11.1,09,09,19,2115.7149835770674,925.6440366403319,0,1890.1233937181428,113.648321037,578.1768592638504,1423.8898032762172,,-1,1,7,2,4,0,0,3,3,0,0
19-Oct-2024_ICE28T  ,arrival,5.516666666666667,09,09,19,1929.030620228838,492.2908748906266,0,1676.586903892866,120.216071857,0,1808.8145483718379,23R/05L,1,1,5,0,0,2,1,0,0,4,2
19-Oct-2024_EZY39UV ,arrival,3.2666666666666666,09,09,19,1389.7553256708322,397.9466417701335,0,1024.4348590114496,91.7350856234,0,1298.0202400474323,,-1,1,2,0,0,1,0,0,0,2,0
20-Oct-2024_KLM32P  ,departure,9.0,09,09,20,3189.7778277964503,477.91398828231155,0,2958.2300660691644,0,2008.432047771288,1181.3457800251624,23R/05L,1,0,8,0,2,0,0,2,0,0,0
20-Oct-2024_DKH1662 ,departure,12.166666666666666,09,09,20,2191.7027957473165,396.32750382323064,0,2043.7954592759552,0,974.8760264943767,1216.8267692529398,23R/05L,1,0,10,3,4,0,0,5,2,0,0
